IRICategoryId,IRIUPC,UPCName,Category,SubCategory,ParentCompany,Manufacturer,IRIUPC_SixDigit,IRIUPC_EightDigit,IRIUPC_NineDigit,IRIUPC_TenDigit,IRIUPC_TenDigitV2,IRIUPC_ElevenDigit,IRIUPC_ElevenDigitV2,LastUpdatedUserId,IsDeleted,LineageID,Modified,Created,IsPepsiCategory,BU,LineExtension,TradeMark,CustomUSFLNASaltySnacksSize,CustomUSCount,CustomUSSizePerUnitOz,IRIUPC_SrcEightDigit,IRIUPC_SrcNineDigit,IRIUPC_SrcTenDigit,ItemLaunchWeek,ItemLaunchYear,BrandLaunchWeek,BrandLaunchYear,CustomUSPackage,IRICategoryHead
2984,0011110866741,PRIVATE LABEL PEACH BLACKBERRY ENHANCED WATER PLSTC WRPD PLSTC BTL 6 CT 120 OZ ,BOTTLED WATER,ENHANCED NJSW (ENJSW),PRIVATE LABEL,PRIVATE LABEL,110866,11086674,111086674,1111086674,0111108667,01111086674,00111108667,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Beverages,PRIVATE LABEL,PRIVATE LABEL,N/A,6 CT,20.0,11110866,111108667,1111086674,Wk - 04-19-15,2015,Before 2013,Before 2013,PLASTIC BOTTLE,LRB
2985,0011110866781,PRIVATE LABEL ORANGE STARFRUIT ENHANCED WATER PLSTC WRPD PLSTC BTL 6 CT 120 OZ ,BOTTLED WATER,ENHANCED NJSW (ENJSW),PRIVATE LABEL,PRIVATE LABEL,110866,11086678,111086678,1111086678,0111108667,01111086678,00111108667,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Beverages,PRIVATE LABEL,PRIVATE LABEL,N/A,6 CT,20.0,11110866,111108667,1111086678,Wk - 04-19-15,2015,Before 2013,Before 2013,PLASTIC BOTTLE,LRB
2986,0011110866981,PRIVATE LABEL SALSA CANTINA STYLE PLSTC CUP IN SLEEVE 16 OZ ,MEXICAN SAUCE,SS DIPS,PRIVATE LABEL,PRIVATE LABEL,110866,11086698,111086698,1111086698,0111108669,01111086698,00111108669,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,0,FLNA,PRIVATE LABEL,PRIVATE LABEL,N/A,4 CT,4.0,11110866,111108669,1111086698,Wk - 04-19-15,2015,NOT Qualified,NOT Qualified,CUP,Non PEP
2987,0011110866991,PRIVATE LABEL SALSA FIRE ROASTED BOWLS IN WINDOW BOX 16 OZ ,MEXICAN SAUCE,SS DIPS,PRIVATE LABEL,PRIVATE LABEL,110866,11086699,111086699,1111086699,0111108669,01111086699,00111108669,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,0,FLNA,PRIVATE LABEL,PRIVATE LABEL,N/A,4 CT,4.0,11110866,111108669,1111086699,Wk - 05-03-15,2015,NOT Qualified,NOT Qualified,BOWL,Non PEP
2988,0011110867201,PRIVATE LABEL FARRO REGULAR 1 CT 16 OZ ,DRY BEANS/VEGETABLES,ETHNIC SPECIALTIES,PRIVATE LABEL,PRIVATE LABEL,110867,11086720,111086720,1111086720,0111108672,01111086720,00111108672,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Quaker,PRIVATE LABEL,PRIVATE LABEL,N/A,1 CT,16.0,11110867,111108672,1111086720,Wk - 10-11-15,2015,Before 2013,Before 2013,BAG,Quaker
2989,0011110867221,PRIVATE LABEL NATURAL PURIFIED WATER PLSTC WRPD PLSTC BTL 35 CT 591.5 OZ ,BOTTLED WATER,REG UNFLAVORED NJSW (RUNJSW),PRIVATE LABEL,PRIVATE LABEL,110867,11086722,111086722,1111086722,0111108672,01111086722,00111108672,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Beverages,PRIVATE LABEL,PRIVATE LABEL,N/A,35 CT,16.9,11110867,111108672,1111086722,Before 2013,Before 2013,Before 2013,Before 2013,PLASTIC BOTTLE,LRB
2990,0011110867232,PRIVATE LABEL NATURAL DRINKING WATER PLSTC WRPD PLSTC BTL 48 CT 384 OZ ,BOTTLED WATER,REG UNFLAVORED NJSW (RUNJSW),PRIVATE LABEL,PRIVATE LABEL,110867,11086723,111086723,1111086723,0111108672,01111086723,00111108672,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Beverages,PRIVATE LABEL,PRIVATE LABEL,N/A,48 CT,8.0,11110867,111108672,1111086723,Before 2013,Before 2013,Before 2013,Before 2013,PLASTIC BOTTLE,LRB
2991,0011110867504,PRIVATE LABEL VANILLA MILK SUBSTITUTE CARTON TWIST CAP 1 CT 64 OZ ,VALUE ADDED DAIRY,DAIRY ALTERNATIVES,PRIVATE LABEL,PRIVATE LABEL,110867,11086750,111086750,1111086750,0111108675,01111086750,00111108675,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Beverages,PRIVATE LABEL,PRIVATE LABEL,N/A,1 CT,64.0,11110867,111108675,1111086750,Wk - 07-26-15,2015,Before 2013,Before 2013,CARTON,
2992,0011110867551,PRIVATE LABEL CITRUS GREEN TEA PLASTIC CONTAINER DRINK MIX 1 CT 128 OZ ,CONCENTRATES CMBND,CONCENTRATES - LIQUIDS,PRIVATE LABEL,PRIVATE LABEL,110867,11086755,111086755,1111086755,0111108675,01111086755,00111108675,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Beverages,PRIVATE LABEL,PRIVATE LABEL,N/A,1 CT,1.62,11110867,111108675,1111086755,Wk - 06-14-15,2015,Before 2013,Before 2013,PLASTIC CONTAINER,
2993,0011110867571,PRIVATE LABEL SWEET TEA PLASTIC CONTAINER DRINK MIX 1 CT 128 OZ ,CONCENTRATES CMBND,CONCENTRATES - LIQUIDS,PRIVATE LABEL,PRIVATE LABEL,110867,11086757,111086757,1111086757,0111108675,01111086757,00111108675,KrogerCat,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,0,Beverages,PRIVATE LABEL,PRIVATE LABEL,N/A,1 CT,1.62,11110867,111108675,1111086757,Wk - 06-07-15,2015,Before 2013,Before 2013,PLASTIC CONTAINER,Non PEP
2994,0011110867931,PRIVATE LABEL LEMONADE PLASTIC CONTAINER DRINK MIX 1 CT 192 OZ ,CONCENTRATES CMBND,CONCENTRATES - LIQUIDS,PRIVATE LABEL,PRIVATE LABEL,110867,11086793,111086793,1111086793,0111108679,01111086793,00111108679,KrogerCat,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,0,Beverages,PRIVATE LABEL,PRIVATE LABEL,N/A,1 CT,1.62,11110867,111108679,1111086793,Wk - 06-07-15,2015,Before 2013,Before 2013,PLASTIC CONTAINER,Non PEP
2995,0011110867941,PRIVATE LABEL PINEAPPLE COCONUT PLASTIC CONTAINER DRINK MIX 1 CT 192 OZ ,CONCENTRATES CMBND,CONCENTRATES - LIQUIDS,PRIVATE LABEL,PRIVATE LABEL,110867,11086794,111086794,1111086794,0111108679,01111086794,00111108679,KrogerCat,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,0,Beverages,PRIVATE LABEL,PRIVATE LABEL,N/A,1 CT,1.62,11110867,111108679,1111086794,Wk - 06-07-15,2015,Before 2013,Before 2013,PLASTIC CONTAINER,Non PEP
2996,0011110868551,PRIVATE LABEL PIECE TRANSFORMER ASSORTED FRUIT 4.8 OZ 6 CT ,DRY FRUIT SNACKS,FRUIT SNACKS,PRIVATE LABEL,PRIVATE LABEL,110868,11086855,111086855,1111086855,0111108685,01111086855,00111108685,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Quaker,PRIVATE LABEL,PRIVATE LABEL,N/A,6 CT,0.8,11110868,111108685,1111086855,Wk - 05-31-15,2015,Before 2013,Before 2013,NA,
2997,0011110868581,PRIVATE LABEL DIP BASIL AIOLI GLASS BOTTLE 11.5 OZ ,DIP/DIP MIXES - SS,SS DIPS,PRIVATE LABEL,PRIVATE LABEL,110868,11086858,111086858,1111086858,0111108685,01111086858,00111108685,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,FLNA,PRIVATE LABEL,PRIVATE LABEL,N/A,1 CT,11.5,11110868,111108685,1111086858,Wk - 06-07-15,2015,NOT Qualified,NOT Qualified,GLASS BOTTLE,
2998,0011110868591,PRIVATE LABEL DIP ROASTED CORN AIOLI GLASS JAR 11.5 OZ ,DIP/DIP MIXES - SS,SS DIPS,PRIVATE LABEL,PRIVATE LABEL,110868,11086859,111086859,1111086859,0111108685,01111086859,00111108685,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,FLNA,PRIVATE LABEL,PRIVATE LABEL,N/A,1 CT,11.5,11110868,111108685,1111086859,Wk - 06-07-15,2015,NOT Qualified,NOT Qualified,GLASS JAR,
2999,0011110868601,PRIVATE LABEL DIP LEMON DILL AIOLI GLASS BOTTLE 11.5 OZ ,DIP/DIP MIXES - SS,SS DIPS,PRIVATE LABEL,PRIVATE LABEL,110868,11086860,111086860,1111086860,0111108686,01111086860,00111108686,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,FLNA,PRIVATE LABEL,PRIVATE LABEL,N/A,1 CT,11.5,11110868,111108686,1111086860,Wk - 06-07-15,2015,NOT Qualified,NOT Qualified,GLASS BOTTLE,
3000,0011110868681,PRIVATE LABEL DIP SRIRACHA AIOLI GLASS JAR 11.5 OZ ,DIP/DIP MIXES - SS,SS DIPS,PRIVATE LABEL,PRIVATE LABEL,110868,11086868,111086868,1111086868,0111108686,01111086868,00111108686,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,FLNA,PRIVATE LABEL,PRIVATE LABEL,N/A,1 CT,11.5,11110868,111108686,1111086868,Wk - 04-19-15,2015,NOT Qualified,NOT Qualified,GLASS JAR,
3001,0011110868691,PRIVATE LABEL RTE POPCORN SEA SALT & BLCK PPPR BAG 4.4 OZ ,SALTY SNACKS,RTE POPCORN,PRIVATE LABEL,PRIVATE LABEL,110868,11086869,111086869,1111086869,0111108686,01111086869,00111108686,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,FLNA,PRIVATE LABEL,PRIVATE LABEL,LARGE,1 CT,4.4,11110868,111108686,1111086869,Wk - 09-20-15,2015,Before 2013,Before 2013,FLEX,Total Macrosnacks
3002,0011110869492,PRIVATE LABEL CHOCOLATE CHIP CHEWY 8 CT 6.8 OZ ,SNACK BARS/GRANOLA BARS,SNACK BARS,PRIVATE LABEL,PRIVATE LABEL,110869,11086949,111086949,1111086949,0111108694,01111086949,00111108694,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Quaker,PRIVATE LABEL,PRIVATE LABEL,N/A,8 CT,0.85,11110869,111108694,1111086949,Wk - 05-10-15,2015,Before 2013,Before 2013,NA,Quaker
3003,0011110869502,PRIVATE LABEL PNT BUTTER CHOC CHIP CHEWY 8 CT 6.8 OZ ,SNACK BARS/GRANOLA BARS,SNACK BARS,PRIVATE LABEL,PRIVATE LABEL,110869,11086950,111086950,1111086950,0111108695,01111086950,00111108695,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Quaker,PRIVATE LABEL,PRIVATE LABEL,N/A,8 CT,0.85,11110869,111108695,1111086950,Wk - 05-03-15,2015,Before 2013,Before 2013,NA,Quaker
3004,0011110869531,PRIVATE LABEL VARIETY PACK CHEWY 10 CT 8.4 OZ - 3930706,SNACK BARS/GRANOLA BARS,SNACK BARS,PRIVATE LABEL,PRIVATE LABEL,110869,11086953,111086953,1111086953,0111108695,01111086953,00111108695,IRI2018Update,True,1,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Quaker,,,,,,,,,,,,,,Quaker
3005,0011110869532,PRIVATE LABEL VARIETY PACK CHEWY 8 CT 6.8 OZ ,SNACK BARS/GRANOLA BARS,SNACK BARS,PRIVATE LABEL,PRIVATE LABEL,110869,11086953,111086953,1111086953,0111108695,01111086953,00111108695,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Quaker,PRIVATE LABEL,PRIVATE LABEL,N/A,8 CT,0.85,11110869,111108695,1111086953,Wk - 05-17-15,2015,Before 2013,Before 2013,NA,Quaker
3006,0011110869562,PRIVATE LABEL SMORE CHEWY 8 CT 6.8 OZ ,SNACK BARS/GRANOLA BARS,SNACK BARS,PRIVATE LABEL,PRIVATE LABEL,110869,11086956,111086956,1111086956,0111108695,01111086956,00111108695,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Quaker,PRIVATE LABEL,PRIVATE LABEL,N/A,8 CT,0.85,11110869,111108695,1111086956,Wk - 07-05-15,2015,Before 2013,Before 2013,NA,Quaker
3007,0011110869661,PRIVATE LABEL FRUIT & NUT CHEWY 6 CT 7.4 OZ ,SNACK BARS/GRANOLA BARS,SNACK BARS,PRIVATE LABEL,PRIVATE LABEL,110869,11086966,111086966,1111086966,0111108696,01111086966,00111108696,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Quaker,PRIVATE LABEL,PRIVATE LABEL,N/A,6 CT,1.2333,11110869,111108696,1111086966,Wk - 05-10-15,2015,Before 2013,Before 2013,NA,Quaker
3008,0011110869673,PRIVATE LABEL OATS & HONEY CRUNCHY 12 CT 8.9 OZ ,SNACK BARS/GRANOLA BARS,SNACK BARS,PRIVATE LABEL,PRIVATE LABEL,110869,11086967,111086967,1111086967,0111108696,01111086967,00111108696,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Quaker,PRIVATE LABEL,PRIVATE LABEL,N/A,12 CT,0.7417,11110869,111108696,1111086967,Wk - 05-17-15,2015,Before 2013,Before 2013,NA,Quaker
3009,0011110869752,PRIVATE LABEL OATS AND CARAMEL 5 CT 7 OZ ,SNACK BARS/GRANOLA BARS,NUTRITION BARS,PRIVATE LABEL,PRIVATE LABEL,110869,11086975,111086975,1111086975,0111108697,01111086975,00111108697,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Quaker,PRIVATE LABEL,PRIVATE LABEL,N/A,5 CT,1.4,11110869,111108697,1111086975,Wk - 05-17-15,2015,Before 2013,Before 2013,NA,Quaker
3010,0011110869781,PRIVATE LABEL DARK CHOC PNUT BTR CHEWY 5 CT 7.1 OZ ,SNACK BARS/GRANOLA BARS,SNACK BARS,PRIVATE LABEL,PRIVATE LABEL,110869,11086978,111086978,1111086978,0111108697,01111086978,00111108697,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Quaker,PRIVATE LABEL,PRIVATE LABEL,N/A,5 CT,1.42,11110869,111108697,1111086978,Wk - 05-17-15,2015,Before 2013,Before 2013,NA,Quaker
3011,0011110869801,PRIVATE LABEL DARK CHOCOLATE DRK CHCLT PNT & ALMN CHEWY 5 CT 7.1 OZ ,SNACK BARS/GRANOLA BARS,NUTRITION BARS,PRIVATE LABEL,PRIVATE LABEL,110869,11086980,111086980,1111086980,0111108698,01111086980,00111108698,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Quaker,PRIVATE LABEL,PRIVATE LABEL,N/A,5 CT,1.42,11110869,111108698,1111086980,Wk - 05-17-15,2015,Before 2013,Before 2013,NA,Quaker
3012,0011110869821,PRIVATE LABEL MIXED BERRY 8 CT 10.4 OZ ,SNACK BARS/GRANOLA BARS,SNACK BARS,PRIVATE LABEL,PRIVATE LABEL,110869,11086982,111086982,1111086982,0111108698,01111086982,00111108698,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Quaker,PRIVATE LABEL,PRIVATE LABEL,N/A,8 CT,1.3,11110869,111108698,1111086982,Wk - 05-10-15,2015,Before 2013,Before 2013,NA,Quaker
3013,0011110869833,PRIVATE LABEL STRAWBERRY 8 CT 10.4 OZ ,SNACK BARS/GRANOLA BARS,SNACK BARS,PRIVATE LABEL,PRIVATE LABEL,110869,11086983,111086983,1111086983,0111108698,01111086983,00111108698,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Quaker,PRIVATE LABEL,PRIVATE LABEL,N/A,8 CT,1.3,11110869,111108698,1111086983,Wk - 05-17-15,2015,Before 2013,Before 2013,NA,Quaker
3014,0011110869901,PRIVATE LABEL RASPBERRY 8 CT 10.4 OZ ,SNACK BARS/GRANOLA BARS,SNACK BARS,PRIVATE LABEL,PRIVATE LABEL,110869,11086990,111086990,1111086990,0111108699,01111086990,00111108699,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Quaker,PRIVATE LABEL,PRIVATE LABEL,N/A,8 CT,1.3,11110869,111108699,1111086990,Wk - 05-17-15,2015,Before 2013,Before 2013,NA,Quaker
3015,0011110869921,PRIVATE LABEL CHOCOLATE CHIP CHEWY 18 CT 15.2 OZ ,SNACK BARS/GRANOLA BARS,SNACK BARS,PRIVATE LABEL,PRIVATE LABEL,110869,11086992,111086992,1111086992,0111108699,01111086992,00111108699,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Quaker,PRIVATE LABEL,PRIVATE LABEL,N/A,18 CT,0.8444,11110869,111108699,1111086992,Wk - 05-10-15,2015,Before 2013,Before 2013,NA,Quaker
3016,0011110869962,PRIVATE LABEL CHOCOLATE SWT SLT PRTPNTCHCCHN CHEWY 6 CT 7.4 OZ ,SNACK BARS/GRANOLA BARS,SNACK BARS,PRIVATE LABEL,PRIVATE LABEL,110869,11086996,111086996,1111086996,0111108699,01111086996,00111108699,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Quaker,PRIVATE LABEL,PRIVATE LABEL,N/A,6 CT,1.2333,11110869,111108699,1111086996,Wk - 05-17-15,2015,Before 2013,Before 2013,NA,Quaker
3017,0011110869971,PRIVATE LABEL PEANUT SWEET & SALTY PEAN#1 6 CT 7.4 OZ ,SNACK BARS/GRANOLA BARS,SNACK BARS,PRIVATE LABEL,PRIVATE LABEL,110869,11086997,111086997,1111086997,0111108699,01111086997,00111108699,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Quaker,PRIVATE LABEL,PRIVATE LABEL,N/A,6 CT,1.2333,11110869,111108699,1111086997,Wk - 05-17-15,2015,Before 2013,Before 2013,NA,Quaker
3018,0011110869982,PRIVATE LABEL ALMOND BUTTER SWEET & SALTY ALMO#1 6 CT 7.4 OZ ,SNACK BARS/GRANOLA BARS,SNACK BARS,PRIVATE LABEL,PRIVATE LABEL,110869,11086998,111086998,1111086998,0111108699,01111086998,00111108699,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Quaker,PRIVATE LABEL,PRIVATE LABEL,N/A,6 CT,1.2333,11110869,111108699,1111086998,Wk - 05-10-15,2015,Before 2013,Before 2013,NA,Quaker
3019,0011110870032,PRIVATE LABEL WHOLE GRAIN CORN PUFF COCOA PEANUT BUTTER 1 CT 13 OZ ,COLD CEREAL,RTE CEREAL,PRIVATE LABEL,PRIVATE LABEL,110870,11087003,111087003,1111087003,0111108700,01111087003,00111108700,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Quaker,PRIVATE LABEL REESE'S PUFF,PRIVATE LABEL REESE'S PUFF,N/A,1 CT,13.0,11110870,111108700,1111087003,Wk - 04-05-15,2015,Before 2013,Before 2013,BOX,
3020,0011110870491,PRIVATE LABEL NATURAL SPRK MINERAL WATER PLASTIC BOTTLE 1 CT 16.9 OZ ,BOTTLED WATER,SPARKLING/SELTZER WATER,PRIVATE LABEL,PRIVATE LABEL,110870,11087049,111087049,1111087049,0111108704,01111087049,00111108704,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Beverages,PRIVATE LABEL,PRIVATE LABEL,N/A,1 CT,16.9,11110870,111108704,1111087049,Wk - 06-07-15,2015,Before 2013,Before 2013,PLASTIC BOTTLE,LRB
3021,0011110870524,PRIVATE LABEL LEMON SPRK MINERAL WATER PLASTIC BOTTLE 1 CT 16.9 OZ ,BOTTLED WATER,SPARKLING/SELTZER WATER,PRIVATE LABEL,PRIVATE LABEL,110870,11087052,111087052,1111087052,0111108705,01111087052,00111108705,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Beverages,PRIVATE LABEL,PRIVATE LABEL,N/A,1 CT,16.9,11110870,111108705,1111087052,Wk - 06-07-15,2015,Before 2013,Before 2013,PLASTIC BOTTLE,LRB
3022,0011110870611,PRIVATE LABEL LIME SPRK MINERAL WATER PLASTIC BOTTLE 1 CT 16.9 OZ ,BOTTLED WATER,SPARKLING/SELTZER WATER,PRIVATE LABEL,PRIVATE LABEL,110870,11087061,111087061,1111087061,0111108706,01111087061,00111108706,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Beverages,PRIVATE LABEL,PRIVATE LABEL,N/A,1 CT,16.9,11110870,111108706,1111087061,Wk - 04-05-15,2015,Before 2013,Before 2013,PLASTIC BOTTLE,LRB
3023,0011110870671,PRIVATE LABEL MANGO SPRK MINERAL WATER PLASTIC BOTTLE 1 CT 16.9 OZ ,BOTTLED WATER,SPARKLING/SELTZER WATER,PRIVATE LABEL,PRIVATE LABEL,110870,11087067,111087067,1111087067,0111108706,01111087067,00111108706,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Beverages,PRIVATE LABEL,PRIVATE LABEL,N/A,1 CT,16.9,11110870,111108706,1111087067,Wk - 06-07-15,2015,Before 2013,Before 2013,PLASTIC BOTTLE,LRB
3024,0011110871141,PRIVATE LABEL CHOCOLATE CHIP 6 CT 14.4 OZ ,SNACK BARS/GRANOLA BARS,NUTRITION BARS,PRIVATE LABEL,PRIVATE LABEL,110871,11087114,111087114,1111087114,0111108711,01111087114,00111108711,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Quaker,PRIVATE LABEL,PRIVATE LABEL,N/A,6 CT,2.4,11110871,111108711,1111087114,Wk - 05-31-15,2015,Before 2013,Before 2013,NA,
3025,0011110871151,PRIVATE LABEL CHOCOLATE CHIP 1 CT 2.4 OZ ,SNACK BARS/GRANOLA BARS,NUTRITION BARS,PRIVATE LABEL,PRIVATE LABEL,110871,11087115,111087115,1111087115,0111108711,01111087115,00111108711,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Quaker,PRIVATE LABEL,PRIVATE LABEL,N/A,1 CT,2.4,11110871,111108711,1111087115,Wk - 05-17-15,2015,Before 2013,Before 2013,NA,
3026,0011110871171,PRIVATE LABEL PEANUT BUTTER 6 CT 14.4 OZ ,SNACK BARS/GRANOLA BARS,NUTRITION BARS,PRIVATE LABEL,PRIVATE LABEL,110871,11087117,111087117,1111087117,0111108711,01111087117,00111108711,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Quaker,PRIVATE LABEL,PRIVATE LABEL,N/A,6 CT,2.4,11110871,111108711,1111087117,Wk - 05-31-15,2015,Before 2013,Before 2013,NA,
3027,0011110871181,PRIVATE LABEL PEANUT BUTTER CRUNCH 1 CT 2.4 OZ ,SNACK BARS/GRANOLA BARS,NUTRITION BARS,PRIVATE LABEL,PRIVATE LABEL,110871,11087118,111087118,1111087118,0111108711,01111087118,00111108711,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Quaker,PRIVATE LABEL,PRIVATE LABEL,N/A,1 CT,2.4,11110871,111108711,1111087118,Wk - 05-17-15,2015,Before 2013,Before 2013,NA,
3028,0011110871191,PRIVATE LABEL NO TRANS FATS WHITE CHOCLT MCDM NT 6 CT 14.4 OZ ,SNACK BARS/GRANOLA BARS,NUTRITION BARS,PRIVATE LABEL,PRIVATE LABEL,110871,11087119,111087119,1111087119,0111108711,01111087119,00111108711,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Quaker,PRIVATE LABEL,PRIVATE LABEL,N/A,6 CT,2.4,11110871,111108711,1111087119,Wk - 05-24-15,2015,Before 2013,Before 2013,NA,
3029,0011110871241,PRIVATE LABEL WHITE CHOCLT MCDM NT 1 CT 2.4 OZ ,SNACK BARS/GRANOLA BARS,NUTRITION BARS,PRIVATE LABEL,PRIVATE LABEL,110871,11087124,111087124,1111087124,0111108712,01111087124,00111108712,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Quaker,PRIVATE LABEL,PRIVATE LABEL,N/A,1 CT,2.4,11110871,111108712,1111087124,Wk - 05-17-15,2015,Before 2013,Before 2013,NA,
3030,0011110871472,PRIVATE LABEL KALE & DATE 1 CT 1.6 OZ ,SNACK BARS/GRANOLA BARS,SNACK BARS,PRIVATE LABEL,PRIVATE LABEL,110871,11087147,111087147,1111087147,0111108714,01111087147,00111108714,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Quaker,PRIVATE LABEL,PRIVATE LABEL,N/A,1 CT,1.6,11110871,111108714,1111087147,Wk - 05-17-15,2015,Before 2013,Before 2013,NA,
3031,0011110871491,PRIVATE LABEL KALE DATE & CARROT 1 CT 1.6 OZ ,SNACK BARS/GRANOLA BARS,SNACK BARS,PRIVATE LABEL,PRIVATE LABEL,110871,11087149,111087149,1111087149,0111108714,01111087149,00111108714,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Quaker,PRIVATE LABEL,PRIVATE LABEL,N/A,1 CT,1.6,11110871,111108714,1111087149,Wk - 05-17-15,2015,Before 2013,Before 2013,NA,
3032,0011110871502,PRIVATE LABEL KL DT BRS & DRK CHCL 1 CT 1.6 OZ ,SNACK BARS/GRANOLA BARS,SNACK BARS,PRIVATE LABEL,PRIVATE LABEL,110871,11087150,111087150,1111087150,0111108715,01111087150,00111108715,IRI2018Update,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Quaker,PRIVATE LABEL,PRIVATE LABEL,N/A,1 CT,1.6,11110871,111108715,1111087150,Wk - 05-17-15,2015,Before 2013,Before 2013,NA,
3033,0011110871641,PRIVATE LABEL OLD FASHIONED LEMOND DRINK MIX PLASTIC CONTAINER 1 CT 256 OZ ,CONCENTRATES CMBND,CONCENTRATES - POWDERS,PRIVATE LABEL,PRIVATE LABEL,110871,11087164,111087164,1111087164,0111108716,01111087164,00111108716,KrogerCat,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Beverages,PRIVATE LABEL,PRIVATE LABEL,N/A,1 CT,19.0,11110871,111108716,1111087164,Wk - 06-21-15,2015,Before 2013,Before 2013,PLASTIC CONTAINER,LRB
3034,0011110871651,PRIVATE LABEL OLD FASHIND PNK LMND DRINK MIX PLASTIC CONTAINER 1 CT 256 OZ ,CONCENTRATES CMBND,CONCENTRATES - POWDERS,PRIVATE LABEL,PRIVATE LABEL,110871,11087165,111087165,1111087165,0111108716,01111087165,00111108716,KrogerCat,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Beverages,PRIVATE LABEL,PRIVATE LABEL,N/A,1 CT,19.0,11110871,111108716,1111087165,Wk - 06-21-15,2015,Before 2013,Before 2013,PLASTIC CONTAINER,LRB
